date,total_deaths,covid_deaths
2020-09-20,62574.0,10729.0
2020-09-27,61374.0,1409.0
2020-10-04,61892.0,784.0
2020-10-11,56678.0,11367.0
2020-10-18,58242.0,8096.0
2020-10-25,59636.0,7560.0
2020-11-01,56059.0,7343.0
2020-11-08,61668.0,
2020-11-15,68471.0,5596.0
2020-11-22,64914.0,5801.0
2020-11-29,66506.0,2806.0
2020-12-06,58157.0,537.0
2020-12-13,60915.0,5986.0
2020-12-20,65817.0,1841.0
2020-12-27,65921.0,10647.0
2021-01-03,69892.0,8716.0
2021-01-10,64789.0,6971.0
2021-01-17,66252.0,5625.0
2021-01-24,57693.0,
2021-01-31,68083.0,7992.0
2021-02-07,68339.0,4780.0
2021-02-14,68931.0,2368.0
2021-02-21,58627.0,6655.0
2021-02-28,64555.0,8173.0
2021-03-07,65173.0,4495.0
2021-03-14,60450.0,10893.0
2021-03-21,,9163.0
2021-03-28,64721.0,6002.0
2021-04-04,65230.0,6614.0
2021-04-11,60592.0,9358.0
2021-04-18,66494.0,5919.0
2021-04-25,65429.0,10966.0
2021-05-02,62392.0,10174.0
2021-05-09,68696.0,853.0
2021-05-16,68688.0,4146.0
2021-05-23,56306.0,11928.0
2021-05-30,67221.0,3769.0
2021-06-06,,574.0
2021-06-13,,11453.0
2021-06-20,68260.0,1148.0
2021-06-27,60864.0,6293.0
2021-07-04,64474.0,6457.0
2021-07-11,62526.0,7509.0
2021-07-18,63901.0,9907.0
2021-07-25,60575.0,4777.0
2021-08-01,60530.0,3854.0
2021-08-08,67936.0,2491.0
2021-08-15,59413.0,10852.0
2021-08-22,58748.0,3124.0
2021-08-29,68545.0,5691.0
2021-09-05,67971.0,3051.0
2021-09-12,55663.0,4.0
2021-09-19,56998.0,
2021-09-26,,5315.0
2021-10-03,66637.0,4869.0
2021-10-10,,876.0
2021-10-17,68919.0,
2021-10-24,56495.0,7027.0
2021-10-31,58304.0,4142.0
2021-11-07,58763.0,6966.0
2021-11-14,60232.0,7079.0
2021-11-21,56853.0,7987.0
2021-11-28,68808.0,6799.0
2021-12-05,61585.0,4465.0
2021-12-12,,635.0
