Continent	Area (km2)	Area (sq mi)	Pct of total area	Population	Pct of total population	Most populous city
Africa	30370000	11730000	20.4	1287920000.0	16.9	Lagos
Antarctica	14000000	5400000	9.2		0.0	McMurdo Station
Asia	44579000	17212000	29.5	4545133000.0	59.5	Shanghai
Europe	10180000	3930000	6.8	742648000.0	9.7	Moscow
North America	24709000	9540000	16.5	587615000.0	7.7	Mexico City
South America	17840000	6890000	12.0	428240000.0	5.6	São Paulo
Australia	8600000	3300000	5.9	41261000.0	0.5	Sydney
